Theme,Song,Album Era,Lyric
Family and Friends,Dear John,Speak Now,"My mother accused me of losing my mind, but I swore / I was fine"
Family and Friends,Never Grow Up,Speak Now,You're in the car on the way to the movies / And you're mortified your mom is dropping you off / She's getting older too
Family and Friends,Never Grow Up,Speak Now,"Memorize what it sounded like, when your dad gets home / Remember the footsteps, remember the words said"
Family and Friends,Never Grow Up,Speak Now,And all of your little brother's favorite songs
Family and Friends,Last Kiss,Speak Now,"Because I love your handshake, meeting my father / I love how you walk with your hands in your pockets"
Family and Friends,Last Kiss,Speak Now,And I'll keep up with our old friends just to ask them how you are / Hope it's nice where you are
Family and Friends,Long Live,Speak Now,If you have children some day / When they point to the pictures / Please tell 'em my name
Family and Friends,Ours,Speak Now,And any snide remarks from my father / About your tattoos will be ignored / 'Cause my heart is yours
Family and Friends,When Emma Falls in Love,Speak Now,"When Emma falls in love, she calls up her mom / Jokes about the ways that this one could go wrong"
Family and Friends,Castles Crumbling,Speak Now,"Power went to my head and I couldn't stop / Ones I loved tried to help, so I ran them off"
Family and Friends,Castles Crumbling,Speak Now,My foes and friends watch my reign end / I don't know how it could've ended this way
Family and Friends,If This Was A Movie,Fearless,Wrapped up in your arms and our friends were laughing / 'Cause nothing like this ever happened to them
Family and Friends,Superman,Speak Now,"He's got his mother's eyes, his father's ambition / I wonder if he knows how much that I miss him"
Family and Friends,Fifteen,Fearless,And your mama's waitin' up and you're thinkin' he's the one
Family and Friends,Fifteen,Fearless,You say hi to your friends you ain't seen in a while / Try and stay out of everybody's way
Family and Friends,Fifteen,Fearless,"You sit in class next to a redhead named Abigail / And soon enough, you're best friends"
Family and Friends,Love Story,Fearless,"And my daddy said, ""Stay away from Juliet"""
Family and Friends,Love Story,Fearless,"I talked to your dad, go pick out a white dress"
Family and Friends,Breathe,Fearless,"It's 2 a.m., feeling like I just lost a friend / Hope you know it's not easy, easy for me"
Family and Friends,The Way I Loved You,Fearless,He's close to my mother / Talks business with my father
Family and Friends,The Best Day,Fearless,I have an excellent father / His strength is making me stronger
Family and Friends,The Best Day,Fearless,God smiles on my little brother / Inside and out he's better than I am
Family and Friends,The Best Day,Fearless,t's the age of princesses and pirate ships / And the seven dwarves / And Daddy's smart / And you're the prettiest lady in the whole wide world
Family and Friends,The Best Day,Fearless,I'm 13 now and don't know how my friends could be so mean / I come home crying and you hold me tight and grab the keys
Family and Friends,We Were Happy,Fearless,No one could touch the way we laughed in the dark / Talking 'bout your daddy's farm we were gonna buy someday / And we were happy
Family and Friends,Don't You,Fearless,"Try to go on with my life / And you can say ""we're still friends"" (I don't wanna pretend)"
Family and Friends,Picture To Burn,Taylor Swift,And if you come around saying sorry to me / My daddy's gonna show you how sorry you'll be
Family and Friends,Teardrops on My Guitar,Taylor Swift,I realise you love yourself more than you could ever love me / So go and tell your friends that I'm obsessive and crazy
Family and Friends,A Place In This World,Taylor Swift,There's nothing stopping me / From going out with all of your best friends
Family and Friends,Mary's Song,Taylor Swift,And our daddies used to joke about the two of us / Growing up and falling in love
Family and Friends,Mary's Song,Taylor Swift,"And our mamas smiled and rolled their eyes / And said, ""Oh my, my, my"""
Family and Friends,Our Song,Taylor Swift,"When we're on the phone, and you talk real slow / 'Cause it's late, and your mama don't know"
Fate and Omens,Mastermind,Midnights,"once upon a time, the planets and the fates and all the stars aligned"
Fate and Omens,Bigger Than The Whole Sky,Midnights,did some bird flag its wings over in asia?
Fate and Omens,Glitch,Midnights,I was supposed to sweat you out / In search of glorious happenings of happenstance on someone else's playground
Fate and Omens,"Would've, Could've, Should've",Midnights,I keep on waiting for a sign / I regret you all the time
Fate and Omens,You're Losing Me,Midnights,I sent you signals and bit my nails down to the quick
Fate and Omens,exile,folklore,Cause you never gave me a warning sign
Fate and Omens,invisible string,folklore,"Gave me no compasses, gave me no signs"
Fate and Omens,Cruel Summer,Lover,And I snuck in through the garden gate / Every night that summer just to seal my fate (oh)
Fate and Omens,Death By A Thousand Cuts,Lover,Now I'm searching for signs in a haunted club
Fate and Omens,Afterglow,Lover,"I lived like an island / Punished you with silence / Went off like sirens, just crying"
Fate and Omens,Getaway Car,reputation,There were sirens in the beat of your heart 
Fate and Omens,Blank Space,1989,"Find out what you want / Be that girl for a month / Wait, the worst is yet to come, oh, no"
Fate and Omens,I Know Places,1989,"I can hear them whisper as we pass by / It's a bad sign, bad sign"
Fate and Omens,State of Grace,Red,These are the hands of fate
Fate and Omens,The Story Of Us,Speak Now,"I don't know what to say / Since a twist of fate, when it all broke down"
Fate and Omens,Foolish One,Speak Now,"Now I'm slidin' down the wall with my head in my hands / Sayin', ""How could I not see the signs?"""
Fate and Omens,Long Live,Speak Now,Confetti falls to the ground / May these memories break our fall / Will you take a moment / Promise me this / That you'll stand by me forever / But if —God forbid— fate should step in
Fate and Omens,A Perfectly Good Heart,Taylor Swift,"Maybe I should've seen the signs, should've read the writing on the wall / And realized by the distance in your eyes that I would be the one to fall"
"Films, Performances, and Photos",Snow on the Beach,Midnights,This scene feels like what I once saw on a screen
"Films, Performances, and Photos",Midnight Rain,Midnights,"My boy was a montage / A slow-motion, love potion"
"Films, Performances, and Photos",Midnight Rain,Midnights,"He never thinks of me, except when I'm on tv"
"Films, Performances, and Photos",Midnight Rain,Midnights,"It came like a postcard / Picture perfect, shiny family"
"Films, Performances, and Photos",Karma,Midnights,Karma is the guy on the screen coming straight home to me
"Films, Performances, and Photos",champagne problems,evermore,Your mom's ring in your pocket / My picture in your wallet
"Films, Performances, and Photos",dorothea,evermore,"Ooh-ooh, you're a queen sellin' dreams / Sellin' makeup and magazines"
"Films, Performances, and Photos",dorothea,evermore,A tiny screen's the only place I see you now / And I got nothing but well wishes for ya
"Films, Performances, and Photos",coney island,evermore,"The fast times, the bright lights, the merry-go / Sorry for not making you my centerfold"
"Films, Performances, and Photos",the 1,folklore,"I hit the Sunday matinee, you know the greatest films of all time were never made "
"Films, Performances, and Photos",the 1,folklore,"I can see you starin', honey / Like he's just your understudy / Like you'd get your knuckles bloody for me"
"Films, Performances, and Photos",exile,folklore,"I think I've seen this film before, but I didn't like the ending"
"Films, Performances, and Photos",seven,folklore,Please picture me in the trees
"Films, Performances, and Photos",this is me trying,folklore,You're a flashback in a film reel on the one screen in my town
"Films, Performances, and Photos",peace,folklore,"But there's robbers to the east, clowns to the west / I'd give you my sunshine, give you my best"
"Films, Performances, and Photos",hoax,folklore,You knew the hero died but what's the movie for?
"Films, Performances, and Photos",I Forgot that You Existed,Lover,"Would've been right there, front row / Even if nobody came to your show"
"Films, Performances, and Photos",The Archer,Lover,Cause cruelty wins in the movies / I've got a hundred thrown out speeches I almost said to you
"Films, Performances, and Photos",Miss Americana & The Heartbreak Prince,Lover,Lost in a film scene / Waving homecoming queens
"Films, Performances, and Photos",Miss Americana & The Heartbreak Prince,Lover,"No cameras catch my pageant smile / I counted days, I counted miles"
"Films, Performances, and Photos",Miss Americana & The Heartbreak Prince,Lover,No cameras catch my pageant smile
"Films, Performances, and Photos",Miss Americana & The Heartbreak Prince,Lover,No cameras catch my muffled cries
"Films, Performances, and Photos",Paper Rings,Lover,"In paper rings, in picture frames, in all my dreams / Oh, you're the one I want"
"Films, Performances, and Photos",Death by a Thousand Cuts,Lover,"Our songs, our films, united we stand / Our country, guess it was a lawless land"
"Films, Performances, and Photos",Look What You Made Me Do,reputation,I don't like your little games / Don't like your tilted stage
"Films, Performances, and Photos",Look What You Made Me Do,reputation,"The role you made me play of the fool / No, I don't like you"
"Films, Performances, and Photos",Look What You Made Me Do,reputation,I'll be the actress starring in your bad dreams
"Films, Performances, and Photos",dancing with our hands tied,reputation,I could've spent forever with your hands in my pockets / Picture of your face in an invisible locket
"Films, Performances, and Photos",This is why we can't have nice things,reputation,And here's to my mama / Had to listen to all this drama
"Films, Performances, and Photos",Call It What You Want,reputation,My baby's fly like a jet stream / High above the whole scene
"Films, Performances, and Photos",New Year's Day,reputation,"Candle wax and Polaroids on the hardwood floor / You and me from the night before,"
"Films, Performances, and Photos",Out Of The Woods,1989,You took a Polaroid of us / Then discovered / (Then discovered) / The rest of the world was black and white / But we were in screaming color
"Films, Performances, and Photos",How You Get The Girl,1989,"Remind her how it used to be, be (yeah, yeah) / With pictures in frames of kisses on cheeks, cheeks"
"Films, Performances, and Photos",I Know Places,1989,"It's a scene, and we're out here in plain sight"
"Films, Performances, and Photos",Clean,1989,Let the flood carry away all my pictures of you
"Films, Performances, and Photos",You Are In Love,1989,And he keeps a picture of you in his office downtown
"Films, Performances, and Photos",All Too Well,Red,Photo album on the counter
"Films, Performances, and Photos",All Too Well,Red,Autumn leaves falling down like pieces into place / And I can picture it after all these days
"Films, Performances, and Photos",22,Red,It seems like one of those nights / We ditched the whole scene
"Films, Performances, and Photos",The Lucky One,Red,"In the angel's city, chasing fortune and fame / And the camera flashes make it look like a dream"
"Films, Performances, and Photos",Begin Again,Red,But you start to talk about the movies / That your family watches every single Christmas
"Films, Performances, and Photos",Babe,Red,"Taking down the pictures and the plans we made, yeah"
"Films, Performances, and Photos",Babe,Red,"Since you admitted it (oh-oh), I keep picturing (oh-oh) / Her lips on your neck (oh-oh), I can't unsee it (oh-oh)"
"Films, Performances, and Photos",Run,Red,"There's a key on the chain, there's a picture in a frame / Take it with you"
"Films, Performances, and Photos",The Very First Night,Red,Didn't read the note on the Polaroid picture
"Films, Performances, and Photos",Back to December,Speak Now,"These days, I haven't been sleepin' / Stayin' up playin' back myself leavin'"
"Films, Performances, and Photos",Never Grow Up,Speak Now,You're in the car on the way to the movies / And you're mortified your mom is dropping you off
"Films, Performances, and Photos",Never Grow Up,Speak Now,"Take pictures in your mind of your childhood room / Memorize what it sounded like, when your dad gets home"
"Films, Performances, and Photos",Better Than Revenge,Speak Now,"She's an actress, whoa / She's better known for the things that she does / On the mattress, whoa"
"Films, Performances, and Photos",Last Kiss,Speak Now,So I'll watch your life in pictures like I used to watch you sleep / And I feel you forget me like I use to feel you breathe
"Films, Performances, and Photos",Long Live,Speak Now,I said remember this feeling / I passed the pictures around / Of all the years that we stood there / On the sidelines wishing for right now
"Films, Performances, and Photos",Long Live,Speak Now,f you have children some day / When they point to the pictures / Please tell 'em my name / Tell 'em how the crowds went wild / Tell 'em how I hope they shine
"Films, Performances, and Photos",If This Was A Movie,Fearless,"Come back, come back, come back to me like / You would, you would if this was a movie"
"Films, Performances, and Photos",If This Was A Movie,Fearless,I know that we could work it out somehow / But if this was a movie you'd be here by now
"Films, Performances, and Photos",If This Was A Movie,Fearless,"You'd be here by now / It's not the kind of ending you wanna see now / Baby, what about the ending?"
"Films, Performances, and Photos",Breathe,Fearless,Music starts playing like the end of a sad movie / It's the kinda ending you don't really wanna see
"Films, Performances, and Photos",The Best Day,Fearless,There is a video I found from back when I was three / You set up a paint set in the kitchen and you're talking to me
"Films, Performances, and Photos",Change,Fearless,"And it's a sad picture, the final blow hits you"
"Films, Performances, and Photos",Superstar,Fearless,"I'm no one special, just another wide-eyed girl / Who's desperately in love with you / Give me a photograph to hang on my wall / Superstar"
"Films, Performances, and Photos",The Other Side Of the Door,Fearless,"Me and my stupid pride are sittin' here alone / Goin' through the photographs, starin' at the phone"
"Films, Performances, and Photos",The Other Side Of the Door,Fearless,We snuck into the circus / You threw your arms around my neck / Back when I deserved it / And we were happy
"Films, Performances, and Photos",We Were Happy,Fearless,We used to walk along the streets / When the porch lights were shinin' bright
"Films, Performances, and Photos",Bye Bye Baby,Fearless,It wasn't just like a movie / The rain didn't soak through my clothes / Down to my skin
"Films, Performances, and Photos",Bye Bye Baby,Fearless,"The picture frame is empty / On the dresser, vacant just like me"
"Films, Performances, and Photos",Picture To Burn,Taylor Swift,As far as I'm concerned you're / Just another picture to burn
"Films, Performances, and Photos",Teardrops on My Guitar,Taylor Swift,So I drive home alone / As I turn out the light / I'll put his picture down / And maybe get some sleep tonight
"Films, Performances, and Photos",Stay Beautiful,Taylor Swift,I'm taking pictures in my mind so I can save them for a rainy day / It's hard to make a conversation when he's taking my breath away
Fire,Anti-Hero,Midnights,I hear it in your voice / You're smoking with your boys
Fire,Snow on the Beach,Midnights,From sprinkler splashes to fireplace ashes / I waited ages to see you there
Fire,"You're on your own, kid",Midnights,Cause there were pages turned with the bridges burned / Everything you lose is a step you take
Fire,Karma,Midnights,you'll see the glare of everyone you burned just to get there 
Fire,Sweet Nothing,Midnights,I spy with my little tired eye / Tiny as a firefly / A pebble that we picked up last July
Fire,Mastermind,Midnights,And the touch of a hand lit the fuse / Of a chain reaction of countermoves
Fire,The Great War,Midnights,"You said I have to trust more freely / But diesel is desire, you were playing with fire"
Fire,The Great War,Midnights,The burning embers / I vowed not to fight anymore / If we survived the Great War
Fire,Bigger Than The Whole Sky,Midnights,Every single thing to come has turned into ashes / 'Cause it's all over
Fire,High Infidelity,Midnights,Put on your headphones and burn my city
Fire,Hits different,Midnights,"bet I could still melt your world, your argumentative antihetical dream girl"
Fire,You're Losing Me,Midnights,I'm getting tired even for a phoenix / Always risin' from the ashes
Fire,ivy,evermore,"Your touch brought forth an incandescent glow / Tarnished, but so grand"
Fire,ivy,evermore,"So yeah, it's a fire / It's a goddamn blaze in the dark"
Fire,long story short,evermore,Now I just keep you warm
Fire,evermore,evermore,Writing letters / Addressed to the fire
Fire,right where you left me,evermore,Matches burn after the other / Pages turn and stick to each other
Fire,cardigan,folklore,The smell of smoke would hang around this long
Fire,my tears richochet,folklore,"If I'm on fire, you'll be made of ashes too"
Fire,mirrorball,folklore,"And they called off the circus, burned the disco down"
Fire,mad woman,folklore,Now I breathe flames each time I talk / My cannons all firin' at your yacht
Fire,peace,folklore,But I'm a fire and I'll keep your brittle heart warm
Fire,hoax,folklore,My barren land / I am ash from your fire
Fire,The Archer,Lover,"I wake in the night, I pace like a ghost / The room is on fire, invisible smoke"
Fire,Afterglow,Lover,"Chemistry 'til it blows up, 'til there's no us / Why'd I have to break what I love so much?"
Fire,Afterglow,Lover,"Hey, it's all me, in my head / I'm the one who burned us down"
Fire,Daylight,Lover,"I wounded the good and I trusted the wicked / Clearing the air, I breathed in the smoke"
Fire,I Did Something Bad,reputation,I can feel the flames on my skin / Crimson red paint on my lips
Fire,I Did Something Bad,reputation,"I can feel the flames on my skin / He says, ""Don't throw away a good thing"""
Fire,I Did Something Bad,reputation,"They're burning all the witches even if you aren't one / So light me up, light me up (Light me up, light me up)"
Fire,Gorgeous,reputation,I struck a match and blew your mind
Fire,Getaway Car,reputation,"The ties were black, the lies were white / In shades of gray in candlelight"
Fire,Dancing With Our Hands Tied,reputation,I'd kiss you as the lights went out / Swaying as the room burned down
Fire,Dress,reputation,"And if I get burned, at least we were electrified"
Fire,This Is Why We Can't Have Nice Thigs,reputation,Windows boarded up after the storm / He built a fire just to keep me warm
Fire,Call It What You Want,reputation,"And I know I make the same mistakes every time / Bridges burn, I never learn"
Fire,Blank Space,1989,So it's gonna be forever / Or it's gonna go down in flames
Fire,Style,1989,Long drive / Could end in burning flames or paradise
Fire,Out Of The Woods,1989,Remember when we couldn't take the heat?
Fire,Wildest Dreams,1989,You'll see me in hindsight / Tangled up with you all night / Burning it down
Fire,This Love,1989,"Lantern, burning / Flickered in the night for only you"
Fire,I Know Places,1989,"Love's a fragile little flame, it could burn out / It could burn out"
Fire,Safe and Sound,Red,"Don't you dare look out your window, darling, everything's on fire / The war outside our door keeps raging on / Hold onto this lullaby even when the music's gone, gone"
Fire,State of Grace,Red,Just twin fire signs / Four blue eyes
Fire,Red,Red,"But loving him was red / Oh, red / Burning red"
Fire,Begin Again,Red,"Thinking all love ever does / Is break and burn, and end"
Fire,Back To December,Speak Now,Because the last time you saw me / Is still burned in the back of your mind
Fire,Dear John,Speak Now,"All the girls that you've run dry / Have tired, lifeless eyes 'cause you burned them out"
Fire,Dear John,Speak Now,But I took your matches before fire could catch me / So don't look now
Fire,Innocent,Speak Now,Wasn't it easier in your firefly-catchin' days?
Fire,Mean,Speak Now,"You, with your switching sides / And your wildfire lies and your humiliation"
Fire,Electric Touch,Speak Now,"Still hoping that the fire won't burn me / Just one time, just one time"
Fire,Electric Touch,Speak Now,"And I want you now, wanna need you forever / In the heat of your electric touch, mmm"
Fire,Castles Crumbling,Speak Now,And I feel like my castle's crumbling down / And I watch all my bridges burn to the ground
Fire,Castles Crumbling,Speak Now,Smoke billows from my ships in the harbor / People look at me like I'm a monster
Fire,Untouchable,Fearless,"Untouchable, burning brighter than the sun"
Fire,The Other Side of the Door,Fearless,"In the heat of the fight, I walked away / Ignorin' words that you were sayin'"
Fire,You All Over Me,Fearless,"I lived, and I learned, had you, got burned / Held out and held on, God knows, too long"
Fire,Picture To Burn,Taylor Swift,So watch me strike a match / On all my wasted time
Fire,Picture To Burn,Taylor Swift,He said the way my blue eyes shined / Put those Georgia stars to shame that night
Fire,invisible,Taylor Swift,There's a fire inside of you / That can't help but shine through / She's never gonna see the light / No matter what you do
Furniture,Lavender Haze,Midnights,Get it off your chest / Get it off my desk
Furniture,Lavender Haze,Midnights,When the morning came / We were cleaning incense off your vinyl shelf
Furniture,cowboy like me,evermore,"Now you hang from the lips like the gardens of babylon, with your boots beneath my bed"
Furniture,cardigan,folklore,And when I felt like I was an old cardigan / Under someone's bed / You put me on and said I was your favorite
Furniture,august,folklore,I can see us twisted in bedsheets
Furniture,Lover,Lover,"And you'll save all your dirtiest jokes for me / And at every table, I'll save you a seat, lover"
Furniture,Paper Rings,Lover,Went home and tried to stalk you on the internet / Now I've read all of the books beside your bed
Furniture,Death By A Thousand Cuts,Lover,Chandelier's still flickering here / 'Cause I can't pretend it's ok when it's not
Furniture,You Need To Calm Down,Lover,You just need to take several seats and then try to restore the peace / And control your urges to scream about all the people you hate / 'Cause shade never made anybody less gay so
Furniture,It's Nice To Have A Friend ,Lover,"Have my back, yeah, every day / Feels like home / Stay in bed / The whole weekend"
Furniture,Daylight,Lover,Back and forth from New York (Sneaking in your bed)
Furniture,Dancing With Our Hands Tied,reputation,"And darling, you had turned my bed into a sacred oasis"
Furniture,Dress,reputation,Carve your name into my bedpost
Furniture,Dress,reputation,"I'm spilling wine in the bathtub, you kiss my face and we're both drunk"
Furniture,Call It What You Want,reputation,"I'm laughing with my lover, making forts under covers / Trust him like a brother, yeah, you know I did one thing right / Starry eyes sparkin' up my darkest night"
Furniture,Welcome To New York,1989,"When we first dropped our bags on apartment floors / Took our broken hearts, put them in a drawer"
Furniture,Out Of The Woods,1989,We were lying on your couch / I remember
Furniture,Out Of The Woods,1989,"Ooh, your necklace hanging from my neck / The night we couldn't quite forget / When we decided, we decided / To move the furniture so we could dance"
Furniture,All Too Well,Red,And you've still got it in your drawer even now
Furniture,I Almost Do,Red,"I bet you're sitting in your chair by the window / Looking out at the city, and I bet"
Furniture,Sad Beautiful Tragic,Red,We both wake / In lonely beds / In different cities
Furniture,Begin Again,Red,You pull my chair out and help me in / And you don't know how nice that is / But I do
Furniture,I Bet You Think About Me,Red,"And the girl in your bed has a fine pedigree / And I'll bet your friends tell you she's better than me, huh"
Furniture,I Bet You Think About Me,Red,Just livin' room dancin' and kitchen table bills
Furniture,I Bet You Think About Me,Red,I bet you think about me in your house / With your organic shoes and your million-dollar couch
Furniture,All Too Well (10 Minute Version),Red,"I walked through the door with you / The air was cold / But something about it felt like home somehow / And I, left my scarf there at your sister's house / And you've still got it in your drawer even now"
Furniture,Mine,Speak Now,"I say, ""Can you believe it?"" / As we're lying on the couch"
Furniture,Mine,Speak Now,And there's a drawer of my things at your place
Furniture,Speak Now,Speak Now,And I am hiding in the curtains / It seems that I was uninvited by your lovely bride-to-be
Furniture,Better Than Revenge,Speak Now,"She's better known for the things that she does / On the mattress, whoa"
Furniture,Innocent,Speak Now,Wasn't it easier in your lunchbox days? / Always a bigger bed to crawl into
Furniture,Foolish One,Speak Now,"My cards are on the table, yours are in your hand"
Furniture,Fearless,Fearless,"I wanna stay right here in this passenger seat / You put your eyes on me / In this moment now capture it, remember it"
Furniture,You Belong With Me,Fearless,"But she wears short skirts / I wear T-shirts / She's Cheer Captain, and I'm on the bleachers"
Furniture,You Belong With Me,Fearless,"Walk in the streets with you in your worn-out jeans / I can't help thinking this is how it ought to be / Laughing on a park bench thinking to myself / Hey, isn't this easy?"
Furniture,Mr. Perfectly Fine,Fearless,"It's the best seat, in the best room / Oh, he's so smug, Mr. ""Always wins"""
Furniture,Bye Bye Baby,Fearless,"The picture frame is empty / On the dresser, vacant just like me"
Furniture,Tim McGraw,Taylor Swift,But in a box beneath my bed / Is a letter that you never read / From three summers back
"Games, Winning, and Losing",Snow on the Beach,Midnights,My smile is like I won a contest / And to hide that would be so dishonest
"Games, Winning, and Losing",Mastermind,Midnights,"To assess the equation of you / Checkmate, I couldn't lose"
"Games, Winning, and Losing",Mastermind,Midnights,The dominoes cascaded in a line / What if I told you I'm a mastermind?
"Games, Winning, and Losing",Mastermind,Midnights,"You see, all the wisest women had to do it this way / 'Cause we were born to be the pawn in every lover's game"
"Games, Winning, and Losing",High Infidelity,Midnights,"Wound open, game token / I didn't know you were keeping count"
"Games, Winning, and Losing",High Infidelity,Midnights,"I didn't know you were keeping count / But oh, you were keeping count"
"Games, Winning, and Losing",… Dear Reader,Midnights,No one sees when you lose / When you're playing solitaire
"Games, Winning, and Losing",You're Losing Me,Midnights,"Stop, you're losin' me"
"Games, Winning, and Losing",You're Losing Me,Midnights,I can't find a pulse / My heart won't start anymore / For you / 'Cause you're losin' me
"Games, Winning, and Losing",You're Losing Me,Midnights,And the air is thick with loss and indecision / I know my pain is such an imposition
"Games, Winning, and Losing",willow,evermore,Like you were a trophy or a champion ring / But there was one prize I'd cheat to win
"Games, Winning, and Losing",willow,evermore,"Life was a willow, and it bent right to your wind / They count me out time and time again"
"Games, Winning, and Losing",gold rush,evermore,What must it be like to grow up that beautiful? / With your hair falling into place like dominoes
"Games, Winning, and Losing",coney island,evermore,The question pounds my head / What's a lifetime of achievement / If I pushed you to the edge / But you were too polite to leave me?
"Games, Winning, and Losing",coney island,evermore,"The mischief, the gift-wrapped suburban dreams / Sorry for not winning you an arcade ring"
"Games, Winning, and Losing",coney island,evermore,But when I walked up to the podium / I think that I forgot to say your name
"Games, Winning, and Losing",cowboy like me,evermore,And the tennis court was covered up / With some tent-like thing
"Games, Winning, and Losing",cowboy like me,evermore,"And you asked me to dance / But I said, ""Dancing is a dangerous game"""
"Games, Winning, and Losing",long story short,evermore,No more keepin' score now / I just keep you warm (keep you warm)
"Games, Winning, and Losing",long story short,evermore,No more tug of war now / I just know there's more (know there's more)
"Games, Winning, and Losing",right where you left me ,evermore,"20 years at your job, then the son of the boss gets the spot that was yours "
"Games, Winning, and Losing",the 1,folklore,"We never painted by the numbers, baby / But we were making it count"
"Games, Winning, and Losing",cardigan,folklore,But I knew you / Playing hide-and-seek and / Giving me your weekends
"Games, Winning, and Losing",the last great american dynasty,folklore,Filled the pool with champagne and swam with the big names / And blew through the money on the boys and the ballet / And losin' on card game bets with Dalí
"Games, Winning, and Losing",hoax,folklore,My winess fight / This has frozen my ground
"Games, Winning, and Losing",Cruel Summer,Lover,"Devils roll the dice, angels roll their eyes / What doesn't kill me makes me want you more"
"Games, Winning, and Losing",Cruel Summer,Lover,"It's cool, that's what I tell 'em / No rules in breakable heaven"
"Games, Winning, and Losing",The Man,Lover,They'd say I played the ﬁeld before I found someone to commit to / And that would be ok
"Games, Winning, and Losing",The Man,Lover,Every conquest I had made would make me more of a boss to you
"Games, Winning, and Losing",The Man,Lover,"And they would toast to me, oh / Let the players play / I'd be just like Leo / In Saint-Tropez"
"Games, Winning, and Losing",The Archer,Lover,Cause cruelty wins in the movies / I've got a hundred thrown out speeches I almost said to you
"Games, Winning, and Losing",Miss Americana & The Heartbreak Prince,Lover,The whole school is rolling fake dice
"Games, Winning, and Losing",Miss Americana & The Heartbreak Prince,Lover,You play stupid games / You win stupid prizes
"Games, Winning, and Losing",Miss Americana & The Heartbreak Prince,Lover,My team is losing / Battered and bruising
"Games, Winning, and Losing",Miss Americana & The Heartbreak Prince,Lover,Cause nobody's gonna (win) / I think you should come home
"Games, Winning, and Losing",Miss Americana & The Heartbreak Prince,Lover,Cause I know this is a (fight) / That someday we're gonna (win)
"Games, Winning, and Losing",Paper Rings,Lover,Cat and mouse for a month or two or three / Now I wake up in the night and watch you breathe
"Games, Winning, and Losing",Cornelia Street,Lover,"Back when we were card sharks, playing games / I thought you were leading me on"
"Games, Winning, and Losing",Cornelia Street,Lover,"But then you called / Showed your hand / I turned around before I hit the tunnel / Sat on the roof, you and I"
"Games, Winning, and Losing",London Boy,Lover,You can ﬁnd me in the pub / We are watchin' rugby with his school friends
"Games, Winning, and Losing",It's Nice To Have A Friend ,Lover,"""Wanna hang out?"" / ""Yeah, sounds like fun"" / Video games"
"Games, Winning, and Losing",Daylight,Lover,Luck of the draw only draws the unlucky
"Games, Winning, and Losing",…Ready for it? ,reputation,"I forgot that you existed / It isn't love, it isn't hate, it's just indifference"
"Games, Winning, and Losing",End Game,reputation,I wanna be your end game / I wanna be your first string / I wanna be your A-Team
"Games, Winning, and Losing",Look What You Made Me Do,reputation,I don't like your little games / Don't like your tilted stage
"Games, Winning, and Losing",So It Goes…,reputation,"You did a number on me / But honestly, baby, who's counting?"
"Games, Winning, and Losing",Getaway Car,reputation,It's no surprise I turned you in (oh-oh) / 'Cause us traitors never win
"Games, Winning, and Losing",New Year's Day,reputation,"I'll be there if you're the toast of the town, babe / Or if you strike out and you're crawling home"
"Games, Winning, and Losing",Blank Space,1989,"""Oh, my God, look at that face / You look like my next mistake / Love's a game, wanna play?"" "
"Games, Winning, and Losing",Blank Space,1989,Cause you know I love the players / And you love the game
"Games, Winning, and Losing",Shake It Off,1989,"Cause the players gonna play, play, play, play, play / And the haters gonna hate, hate, hate, hate, hate"
"Games, Winning, and Losing",Clean,1989,Hung my head as I lost the war / And the sky turned black like a perfect storm
"Games, Winning, and Losing",New Romantics,1989,It's poker / He can't see it in my face / But I'm about to play my Ace (ah)
"Games, Winning, and Losing",New Romantics,1989,We team up / Then switch sides like a record changer
"Games, Winning, and Losing",Eyes Open,Red,But now we've stepped into a cruel world / Where everybody stands and keeps score
"Games, Winning, and Losing",State of Grace,Red,Love is a ruthless game / Unless you play it good and right
"Games, Winning, and Losing",Red,Red,Fighting with him was like trying to solve a crossword / And realizing there's no right answer
"Games, Winning, and Losing",Forever Winter,Red,I pull at every thread trying to solve the puzzles in his head / Live my life scared to death he'll decide to leave instead
"Games, Winning, and Losing",Sparks Fly,Speak Now,"The way you move is like a full on rainstorm, and I'm a house of cards"
"Games, Winning, and Losing",Dear John,Speak Now,And I lived in your chess game / But you changed the rules every day
"Games, Winning, and Losing",Dear John,Speak Now,"Dear John / I see it all now, it was wrong / Don't you think nineteen's / Too young to be played by your dark, twisted games?"
"Games, Winning, and Losing",Mean,Speak Now,And I can see you years from now in a bar / Talking over a football game / With that same big loud opinion / But nobody's listening
"Games, Winning, and Losing",The Story Of Us,Speak Now,This is looking like a contest / Of who can act like they care less
"Games, Winning, and Losing",Foolish One,Speak Now,"My cards are on the table, yours are in your hand"
"Games, Winning, and Losing",Change,Fearless,"This revolution, the time will come for us to finally win / And we'll sing hallelujah / We'll sing hallelujah, oh"
"Games, Winning, and Losing",Change,Fearless,"You can walk away, say we don't need this / But there's something in your eyes, says we can beat this"
"Games, Winning, and Losing",Change,Fearless,"Tonight we'll stand, get off our knees / Fight for what we've worked for all these years / And the battle was long, it's the fight of our lives / But we'll stand up, champions tonight"
"Games, Winning, and Losing",Mr. Perfectly Fine,Fearless,"It's the best seat, in the best room / Oh, he's so smug, Mr. ""Always wins"""
Gender Roles,Lavender Haze,Midnights,All they keep asking me (all they keep asking me) / Is if I'm gonna be your bride
